Source,Target,GoldsteinScale
,REB,4.0
,CVL,-2.0
REB,GOV,8.0
REB,,7.0
GOV,REB,4.0
REB,MIL,4.0
MIL,REB,4.0
,MIL,-6.5
,MIL,3.4
,MIL,8.0
MIL,,8.0
MIL,,2.8
,MIL,1.9
MIL,,8.0
,REB,7.0
,REB,4.0
,REB,4.0
MIL,REB,-10.0
REB,MIL,7.0
REB,MIL,7.0
,GOV,4.0
REB,,4.0
GOV,,0.0
GOV,,8.0
,REB,5.0
REB,,4.0
REB,,4.0
REB,,7.0
GOV,,4.0
GOV,,4.0
,MIL,-6.5
REB,REB,7.0
HLH,,-5.0
,GOV,3.4
GOV,,3.0
GOV,,1.0
,LEG,5.0
REB,,3.5
,REB,7.0
REB,,1.9
,REB,2.8
,REB,-2.0
ELI,REB,-2.0
,,2.8
REB,REB,2.8
REB,REB,1.9
JUD,,0.0
REB,,1.9
,GOV,-2.0
,,1.9
REB,MIL,7.4
,REB,3.5
,REB,2.8
REB,,1.9
,GOV,2.8
GOV,,1.9
,REB,7.0
,GOV,4.0
,GOV,4.0
,MIL,0.0
GOV,,4.0
,REB,8.0
GOV,,3.0
GOV,,3.4
LEG,,0.0
,LEG,0.0
,REB,2.8
REB,,1.9
,GOV,-2.0
,GOV,7.0
,ELI,3.0
GOV,,4.0
,REB,4.0
,REB,7.0
,REB,0.0
,REB,7.0
,REB,-5.0
GOV,,1.9
,GOV,2.8
MED,,0.0
,MED,0.4
GOV,,7.0
GOV,,-2.0
,,2.8
BUS,,-2.0
,GOV,3.4
MIL,REB,0.0
,REB,2.8
REB,,1.9
REB,,1.9
GOV,REB,4.0
,GOV,7.0
GOV,REB,8.0
REB,GOV,8.0
,REB,4.0
,REB,-2.0
,REB,2.8
REB,GOV,3.5
REB,,4.0
REB,,4.0
,CVL,3.4
,REB,-10.0
REB,,-10.0
REB,MIL,7.0
REB,GOV,8.0
,GOV,3.4
REB,,8.0
,GOV,4.0
GOV,REB,2.8
REB,,-6.5
REB,GOV,1.9
,GOV,4.0
REB,MIL,1.0
GOV,REB,3.5
GOV,,3.0
,GOV,-2.0
MIL,REB,7.4
REB,GOV,7.0
,MIL,-6.5
,MIL,8.0
,REB,1.0
ELI,REB,1.0
,REB,1.0
REB,,1.0
,REB,3.5
REB,ELI,1.0
,REB,3.4
,REB,1.0
MIL,,7.0
,REB,3.5
,GOV,7.0
REB,,4.0
GOV,ELI,3.4
GOV,GOV,3.4
GOV,REB,1.0
REB,,3.5
REB,GOV,3.5
JUD,,1.0
REB,GOV,3.5
REB,,3.5
GOV,REB,3.5
GOV,REB,1.0
GOV,REB,1.0
,REB,4.0
,LAB,1.0
MIL,,8.0
GOV,REB,7.0
GOV,,3.5
GOV,REB,4.0
JUD,,-4.0
,REB,4.0
REB,GOV,4.0
,REB,8.0
,REB,2.8
REB,,5.0
GOV,REB,4.0
REB,,3.4
GOV,,0.0
,REB,4.0
,REB,4.0
REB,,4.0
REB,,8.0
REB,,4.0
,MIL,3.4
REB,,4.0
GOV,,3.4
,MIL,2.8
,REB,1.9
MIL,,1.9
REB,,2.8
,GOV,3.5
GOV,,3.5
REB,,4.0
,REB,7.0
,REB,7.0
,REB,-4.4
GOV,,-7.0
,MIL,1.9
,REB,0.0
,HLH,-2.0
,GOV,-7.0
GOV,REB,0.0
GOV,BUS,0.0
COP,,3.4
BUS,,4.0
,,8.0
,REB,3.4
BUS,,-2.0
MED,,1.0
,REB,3.0
,LEG,0.0
,JUD,0.0
,GOV,2.8
GOV,,1.9
REB,,1.0
,REB,4.0
,REB,4.0
GOV,REB,4.0
,REB,-2.0
GOV,MIL,5.2
,REB,5.2
GOV,REB,7.0
,GOV,8.0
GOV,,8.0
,REB,4.0
REB,,-5.0
REB,,4.0
,,0.4
GOV,REB,-7.0
MIL,,2.8
REB,,7.0
CVL,,5.2
CVL,,3.0
REB,GOV,8.0
CRM,,-2.0
,CVL,0.0
REB,,3.0
,CVL,3.0
GOV,REB,4.0
MIL,REB,7.0
BUS,,5.0
,GOV,1.0
REB,GOV,4.0
,REB,3.0
GOV,,3.0
,REB,1.0
REB,GOV,3.5
,REB,1.0
,,8.0
,,7.0
REB,,8.0
,,1.0
GOV,,3.4
,REB,8.0
,COP,1.9
,,1.0
MIL,,-9.0
,,0.0
REB,,1.0
REB,,1.0
,REB,3.5
REB,,3.5
,CVL,3.4
HLH,,-2.0
,COP,2.8
COP,,2.8
REB,GOV,7.0
REB,GOV,-7.0
,GOV,4.0
,GOV,-7.0
,REB,7.0
REB,,1.9
GOV,REB,4.0
REB,GOV,4.0
,MIL,1.9
,GOV,0.0
REB,,3.0
GOV,,3.0
,REB,2.8
,REB,3.0
GOV,REB,3.0
GOV,,-7.0
,REB,3.0
REB,GOV,-7.0
,GOV,3.0
,REB,0.0
,REB,8.0
REB,,8.0
GOV,REB,8.0
COP,,1.9
MIL,MIL,2.8
,HLH,-2.0
HLH,,-2.0
MIL,MIL,1.9
REB,,7.0
GOV,REB,-7.0
GOV,REB,7.0
REB,GOV,7.0
GOV,,1.0
GOV,REB,3.5
GOV,,3.0
GOV,,4.0
GOV,,-4.0
,GOV,3.0
,REB,4.0
REB,,4.0
GOV,GOV,-4.0
,GOV,4.0
,REB,0.0
REB,,4.0
MIL,,8.0
REB,,4.0
,GOV,-4.0
GOV,REB,8.0
GOV,REB,-4.0
REB,GOV,8.0
GOV,,8.0
GOV,,5.2
,REB,3.0
,GOV,0.0
GOV,MIL,-0.4
,GOV,3.4
COP,,-5.0
,CVL,3.4
MIL,,7.0
