Source,Target,GoldsteinScale
REB,GOV,3.5
REB,,-10.0
GOV,MIL,4.0
REB,REB,-4.0
,MIL,2.8
,CVL,-2.0
GOV,MIL,3.0
REB,,3.4
REB,GOV,7.0
,GOV,4.0
GOV,REB,3.4
,,7.0
CVL,,-4.0
REB,,0.4
GOV,,7.0
REB,GOV,1.0
REB,,1.0
GOV,REB,1.0
GOV,,7.0
MIL,,1.9
,REB,1.0
,GOV,7.0
,GOV,2.8
GOV,REB,7.0
REB,GOV,1.0
REB,,1.0
GOV,REB,1.0
GOV,,5.2
,REB,1.0
,LEG,-2.0
,GOV,5.2
REB,MED,-5.0
,REB,-4.0
REB,,4.0
,REB,4.0
REB,,4.0
GOV,REB,8.0
,REB,2.8
GOV,REB,-4.0
REB,GOV,8.0
,MIL,1.9
MIL,,2.8
,REB,4.0
,REB,3.5
REB,,7.0
REB,,3.5
REB,,8.0
REB,,1.9
REB,,-4.0
,GOV,5.0
ELI,,3.4
,REB,8.0
,LEG,3.0
,REB,-7.0
REB,REB,2.8
,MIL,8.3
REB,MIL,8.3
GOV,,-2.0
,GOV,1.0
GOV,,1.0
,MIL,-5.0
,REB,3.4
,REB,3.0
,REB,4.0
REB,,4.0
,GOV,3.4
ELI,REB,4.0
ELI,REB,4.0
REB,,4.0
REB,ELI,4.0
,REB,2.8
REB,REB,1.9
,REB,5.0
,GOV,4.0
ELI,REB,5.0
REB,REB,1.9
,REB,-5.0
,REB,-2.0
,REB,-2.0
,REB,-2.0
,REB,-2.0
,MIL,-4.0
,CVL,0.0
,REB,-4.0
REB,,1.0
,REB,1.0
REB,,7.0
,REB,7.0
REB,,-5.0
REB,,5.0
REB,,-5.0
REB,,4.0
,REB,-5.0
,REB,-5.0
,REB,-4.0
REB,,-4.0
MIL,,8.0
GOV,REB,-4.0
,REB,-4.0
,MIL,8.0
REB,GOV,8.0
,ELI,-2.0
REB,MED,1.9
REB,,-4.0
MED,REB,2.8
GOV,,0.0
,REB,8.0
,REB,4.0
,MIL,-5.0
GOV,,7.0
,GOV,7.0
GOV,,0.0
CVL,,-2.0
REB,REB,2.8
REB,,-4.0
,REB,7.0
,REB,1.9
,MIL,-5.0
,REB,5.0
,REB,4.0
REB,,8.0
GOV,REB,5.0
,GOV,4.0
,GOV,-4.0
,JUD,3.0
GOV,,4.0
,REB,8.0
REB,,8.0
,LEG,4.0
REB,GOV,8.0
,MIL,3.5
REB,,-4.0
,MED,0.0
REB,,1.9
REB,GOV,8.0
,REB,7.4
GOV,REB,8.0
MIL,,3.5
REB,,2.8
,REB,-2.0
ELI,REB,5.0
CVL,,-4.0
REB,GOV,7.0
REB,,7.0
GOV,REB,8.0
REB,REB,-2.0
REB,GOV,8.0
GOV,,3.4
ELI,GOV,1.0
REB,GOV,9.0
,REB,3.4
,REB,0.4
,GOV,1.0
REB,,3.4
,REB,3.5
,REB,1.9
,,1.0
REB,,2.8
GOV,REB,9.0
,REB,0.0
,REB,7.0
GOV,,3.4
,BUS,6.0
REB,,7.0
,REB,7.0
REB,,0.0
CVL,,-4.0
,REB,8.0
,,0.0
,,0.0
REB,,8.0
REB,,8.0
,GOV,2.8
GOV,GOV,3.4
GOV,ELI,1.0
REB,,8.3
REB,,2.8
GOV,,0.0
REB,,7.0
,REB,2.8
,REB,-4.0
,REB,-2.0
,REB,7.0
REB,,1.9
REB,,-5.0
,GOV,0.0
,REB,5.2
REB,,4.0
REB,REB,4.0
REB,,3.0
,REB,5.2
,MED,0.0
REB,,4.0
,,7.0
,MIL,7.0
,REB,7.0
,GOV,-2.0
,CVL,-4.0
,REB,7.0
,MIL,-5.0
,REB,7.0
REB,GOV,8.0
,REB,-4.0
GOV,GOV,-10.0
,REB,-4.0
REB,REB,3.4
,REB,4.0
,GOV,0.0
,REB,-4.0
GOV,,-4.0
,GOV,3.4
,GOV,-9.5
GOV,REB,-9.5
,REB,3.0
,REB,4.0
CVL,REB,-4.0
,REB,-10.0
,REB,-4.0
,REB,-2.0
REB,,9.0
GOV,,0.0
REB,,2.8
REB,,4.0
GOV,REB,1.9
GOV,REB,4.0
GOV,GOV,2.8
GOV,GOV,1.9
GOV,,2.8
,REB,1.9
,REB,4.0
,GOV,1.9
REB,GOV,3.5
REB,,3.4
,,-5.0
,REB,-5.0
REB,GOV,3.4
COP,REB,-2.0
,GOV,3.4
REB,GOV,2.8
,GOV,5.0
GOV,,-2.0
REB,REB,3.0
REB,REB,4.0
REB,REB,-4.0
GOV,,0.4
,REB,-4.0
CVL,REB,-4.0
,CVL,-2.0
,REB,-4.0
REB,,8.0
CVL,REB,-4.0
MIL,REB,8.0
REB,,7.0
,REB,1.9
,GOV,3.4
,,-5.0
,GOV,4.0
GOV,,4.0
REB,REB,-0.1
REB,,5.0
REB,,3.4
CVL,,-0.4
,CVL,-0.4
GOV,REB,1.0
,MIL,-5.0
GOV,,3.4
,,3.4
REF,,3.4
CVL,,0.0
REB,GOV,4.0
REB,GOV,1.0
,REB,9.0
,GOV,-7.0
GOV,REB,-5.0
,REB,3.4
,REB,8.0
GOV,MIL,4.0
,MIL,4.0
REB,,8.0
,REB,-2.0
REB,,6.4
,REB,6.4
,REB,4.0
,REB,3.0
MIL,,7.0
,MIL,7.0
,MED,1.0
,REB,0.0
GOV,,-4.0
GOV,REB,8.0
MED,,-0.4
,GOV,3.4
,GOV,3.4
MED,,1.0
GOV,,0.0
,MIL,5.2
,MIL,1.0
CVL,,-4.0
,MIL,8.0
MIL,,8.0
MIL,,7.0
,REB,3.4
REB,GOV,8.0
,REB,5.0
,REB,8.0
MED,,0.0
,REB,8.0
REB,,4.0
REB,,8.0
MIL,REB,9.0
,REB,3.4
,GOV,1.0
GOV,,1.0
,REB,8.0
,MIL,-2.0
,MIL,-10.0
REB,,-5.0
,REB,7.0
CVL,,-4.0
,,2.8
GOV,REB,0.0
GOV,,7.4
,,3.4
,,1.9
REB,,4.0
,REB,4.0
,,-2.0
,GOV,4.0
,GOV,-2.0
,MIL,4.0
,REB,4.0
,MIL,-5.0
GOV,,0.0
,REB,4.0
,REB,7.0
REB,,7.0
GOV,REB,3.0
REB,GOV,9.0
GOV,REB,9.0
,REB,1.0
,REB,-5.0
REB,,1.0
REB,,3.4
REB,,5.0
REB,MIL,8.3
GOV,,-10.0
REB,GOV,8.0
GOV,REB,8.0
REB,,4.0
REB,,3.0
REB,,-4.0
REB,,7.0
,REB,7.0
REB,,3.4
,REB,3.4
,REB,0.4
,REB,8.0
COP,,0.0
GOV,,2.8
,GOV,1.9
MIL,REB,8.0
,REB,7.0
CVL,,0.0
GOV,GOV,5.2
,REB,3.0
,REB,8.0
,GOV,-4.0
REB,,0.0
,REB,-4.0
,CVL,-4.0
,MIL,1.0
,REB,1.9
BUS,,0.0
,REB,7.0
REB,,2.8
REB,GOV,5.0
,REB,3.4
GOV,REB,3.4
,,3.4
GOV,,-4.0
GOV,,3.4
GOV,,1.0
,GOV,1.0
GOV,,4.0
GOV,,3.0
REB,GOV,3.5
GOV,REB,-4.0
REB,,7.0
GOV,REB,3.5
,REB,0.0
,GOV,3.0
REB,REB,4.0
REB,,8.0
,REB,4.0
REB,REB,8.0
REB,REB,8.0
GOV,REB,5.0
,GOV,1.0
,,3.4
CVL,,-4.0
REB,,3.5
GOV,,0.0
,REB,3.5
,GOV,1.0
GOV,MIL,4.0
GOV,REB,4.0
MIL,,4.0
,GOV,0.0
GOV,REB,3.4
,REB,3.4
MIL,GOV,4.0
,GOV,0.0
MIL,REB,4.0
GOV,,1.0
REB,,4.0
REB,GOV,4.0
REB,MIL,4.0
MIL,,-10.0
REB,,-10.0
GOV,,1.0
GOV,,7.0
,GOV,7.0
CVL,MIL,-4.0
CVL,MIL,3.2
HLH,REB,4.0
CVL,,-4.0
CVL,,3.2
,GOV,7.0
CVL,MIL,3.4
REB,HLH,4.0
,GOV,1.0
,REB,7.0
,REB,-2.0
REB,MIL,8.0
ELI,,0.0
,REB,5.0
,GOV,7.0
,GOV,0.0
REB,,3.5
,GOV,3.4
GOV,REB,0.0
GOV,REB,3.0
,REB,3.5
REB,,7.0
GOV,,1.0
,REB,3.0
,REB,-6.5
,MIL,-5.0
GOV,REB,3.0
GOV,REB,-0.4
,ELI,7.0
GOV,GOV,7.0
,CVL,-4.0
,REB,7.0
,REB,1.9
,REB,7.0
REB,,2.8
REB,,-10.0
,CVL,0.0
,GOV,-4.0
GOV,REB,7.0
REB,GOV,7.0
GOV,GOV,1.9
GOV,GOV,2.8
REB,,3.4
GOV,,7.0
ELI,REB,3.0
REB,GOV,3.5
,CVL,-4.0
GOV,,3.5
,GOV,7.4
GOV,,7.4
,GOV,8.0
GOV,,8.0
GOV,REB,4.0
REB,,8.0
REB,GOV,4.0
MED,,-0.4
GOV,,3.5
,GOV,3.5
,REB,3.5
,REB,8.0
GOV,REB,3.5
GOV,REB,8.0
REB,,3.5
,REB,7.0
GOV,REB,0.0
,GOV,3.5
,CVL,-4.0
,REB,3.5
REB,,3.5
,GOV,0.0
GOV,,0.0
GOV,REB,9.0
REB,GOV,9.0
REB,,2.8
CVL,,1.9
,REB,-4.0
GOV,REB,8.0
,REB,-2.0
REB,GOV,8.0
GOV,,3.4
,REB,4.5
GOV,,3.4
GOV,,3.4
,MIL,5.2
,MIL,1.0
,MIL,8.0
MIL,,8.0
REB,,3.4
REB,,-10.0
,REB,0.0
,REB,2.8
BUS,,3.4
,REB,0.0
,GOV,-5.0
,REB,4.0
REB,,2.8
,REB,-10.0
,REB,1.9
REB,,4.0
,GOV,-4.0
,REB,4.0
,REB,-4.0
REB,,-4.0
,REB,0.4
,CVL,2.8
REB,,8.0
REB,,4.0
MED,,0.0
REB,REB,8.0
,CVL,-4.0
,GOV,8.0
,REB,8.0
GOV,REB,8.0
,CVL,-0.4
CVL,,-0.4
REB,,-4.0
REB,,1.9
GOV,,5.2
GOV,,-2.0
REB,,4.0
REB,,8.0
REB,,-4.0
,,3.4
REB,,8.0
,REB,8.0
,REB,-5.0
,REB,3.5
GOV,,7.0
GOV,,7.0
,REB,8.0
GOV,GOV,7.0
REB,GOV,7.0
REB,,7.0
GOV,,-4.0
REB,,3.0
,GOV,1.0
,GOV,1.0
GOV,,1.0
GOV,,1.0
JUD,,-2.0
,REB,3.4
REB,,7.0
,REB,4.0
,,3.4
,REB,4.0
,REB,0.0
,REB,3.0
,REB,-5.0
,REB,8.0
REB,,8.0
,GOV,3.4
REB,,9.0
REB,REB,5.0
REB,REB,8.0
,GOV,8.0
GOV,,3.0
GOV,REB,3.0
GOV,,3.4
,,4.0
,GOV,1.0
,REB,-5.0
GOV,,2.8
,REB,7.0
GOV,,1.9
,,4.0
,REB,7.0
,GOV,2.8
,GOV,1.9
,REB,7.0
,GOV,4.0
,GOV,4.0
BUS,,3.0
,GOV,1.0
GOV,,1.0
,GOV,8.0
GOV,,3.4
GOV,,8.0
GOV,GOV,0.0
GOV,,-4.4
GOV,,0.0
BUS,,1.0
CVL,,-4.0
REB,,3.5
REB,,1.0
,GOV,-4.0
,REB,1.0
LEG,REB,-2.0
REB,,4.0
,REB,4.0
CVL,MIL,5.0
,CVL,-2.0
,BUS,1.0
BUS,,3.0
GOV,REB,-2.0
,GOV,0.0
,GOV,7.0
GOV,,7.0
GOV,,0.4
GOV,,1.0
GOV,,7.0
,MED,0.0
,LEG,3.0
,REB,7.0
,REB,3.4
,REB,-4.0
REB,REB,3.0
REB,REB,-0.1
,CVL,-4.0
,GOV,1.0
GOV,,7.0
GOV,,2.8
,GOV,1.9
,GOV,1.0
,GOV,8.0
GOV,,8.0
,GOV,7.0
,GOV,7.0
GOV,,3.4
,GOV,3.5
,GOV,4.0
,GOV,7.0
,REB,1.0
,MIL,4.0
GOV,,1.0
GOV,,4.0
,REB,3.0
CVL,MIL,-4.0
GOV,REB,5.2
GOV,ELI,3.4
,REB,1.9
GOV,,3.5
,GOV,3.5
,,2.8
CVL,,3.0
REB,,2.8
,ELI,3.4
REB,,-10.0
CVL,,-4.0
,REB,1.0
,CVL,3.0
CVL,,7.0
,GOV,7.0
GOV,REB,-10.0
REB,GOV,-10.0
,REB,-4.0
GOV,REB,3.0
GOV,GOV,7.0
GOV,GOV,1.0
BUS,,3.0
REB,,-10.0
,GOV,8.0
,REB,7.0
,CVL,1.0
,GOV,7.4
,REB,3.0
CVL,,0.0
,CVL,3.4
GOV,,5.2
REB,GOV,9.0
GOV,REB,9.0
REB,CVL,-4.0
REB,,-4.0
,REB,-2.0
GOV,,3.4
REB,,3.4
GOV,,3.0
CVL,REB,-4.0
MIL,MIL,1.0
,CVL,-4.0
LEG,REB,-2.0
REB,,0.0
,CVL,-4.0
CVL,,-10.0
,REB,7.0
CVL,,-4.0
GOV,,3.4
GOV,MIL,3.0
GOV,MIL,0.0
COP,GOV,3.4
,CVL,-4.4
GOV,,1.0
GOV,,5.2
,GOV,8.0
CVL,,-0.4
,GOV,1.0
,REB,7.0
,GOV,0.0
GOV,MIL,1.0
GOV,GOV,2.8
GOV,GOV,1.9
,GOV,-10.0
GOV,,7.0
BUS,,5.0
MED,,0.0
CVL,,1.0
GOV,GOV,0.0
REB,,-4.0
GOV,,3.5
,REB,7.0
,LEG,3.0
GOV,,2.8
GOV,,1.9
,GOV,2.8
,GOV,1.9
GOV,,3.0
BUS,,3.4
,GOV,-5.0
,REB,4.0
REB,GOV,8.0
GOV,REB,8.0
,REB,8.0
,REB,-0.4
COP,,-2.0
GOV,,-10.0
MIL,,4.0
GOV,,0.0
,GOV,-9.2
CVL,,4.0
GOV,,3.4
MIL,,8.0
GOV,,7.0
GOV,REB,7.0
,GOV,-5.0
GOV,,-5.0
LAB,,4.0
,LAB,4.0
,REB,7.0
,REB,0.0
REB,,7.0
GOV,,1.0
,REB,7.0
,GOV,7.4
REB,,7.0
GOV,REB,-4.0
GOV,,7.0
REB,,0.0
ELI,,1.0
,MNC,-2.0
,GOV,7.0
GOV,,2.5
,GOV,2.5
BUS,,3.0
,MIL,8.0
REB,,8.0
REB,,4.0
,REB,8.0
,REB,4.0
GOV,GOV,7.0
REB,,-4.0
,LEG,-2.0
REB,,4.0
REB,,8.0
REB,,4.0
,LEG,3.0
GOV,REB,4.0
,GOV,7.4
GOV,,0.0
CVL,,6.0
,GOV,1.0
GOV,,1.0
,GOV,7.0
,REB,8.0
,REB,4.0
,REB,4.5
,CVL,-4.0
,REB,-4.0
CVL,MIL,5.0
,CVL,6.0
REB,,-4.0
,REB,7.0
LEG,,1.9
,REB,-5.0
CVL,,-4.0
REB,GOV,7.0
,GOV,0.0
REB,,8.0
,GOV,0.0
REB,GOV,3.5
REB,,3.5
GOV,REB,3.5
,REB,3.5
REB,REB,8.0
REB,REB,8.0
,REB,7.0
,REB,0.0
REB,,4.0
GOV,,7.0
,REB,4.0
REB,,8.0
REB,,7.0
,REB,8.0
,REB,0.0
,REB,-2.0
REB,,8.0
REB,,0.0
GOV,,8.0
GOV,GOV,4.0
,REB,5.2
CVL,,-4.0
GOV,,8.0
,LEG,2.8
BUS,,3.0
CVL,,-4.0
GOV,GOV,8.0
,REB,4.0
,REB,7.4
,GOV,3.4
,,1.9
,,6.0
BUS,REB,3.0
CVL,,7.0
GOV,REB,7.0
,CVL,0.0
,REB,-10.0
CVL,REB,-10.0
,,0.0
GOV,,5.2
REB,REB,-4.0
MED,GOV,7.0
BUS,,3.0
MED,,7.0
GOV,MED,7.0
GOV,MED,3.0
,GOV,7.0
,REB,3.0
LEG,REB,-2.0
GOV,,-5.0
,MIL,0.0
,REB,4.0
,REB,7.0
,GOV,3.4
,CVL,0.0
CVL,,5.0
REB,REB,9.0
,MED,7.0
,MED,3.0
,,1.9
REB,GOV,3.5
GOV,,4.0
REB,GOV,3.4
,GOV,4.0
,GOV,7.0
REB,,8.0
CVL,REB,-5.0
,REB,8.0
REB,,-10.0
REB,REB,-9.0
COP,,-2.0
REB,REB,9.0
GOV,GOV,5.2
GOV,,-4.0
REB,,-4.0
,REB,5.2
REB,,-7.0
GOV,,-4.0
,,2.8
,GOV,0.4
REB,REB,7.0
CVL,,3.0
CRM,,-10.0
REB,,-2.0
SEP,,0.0
,REB,3.5
GOV,REB,3.5
GOV,REB,7.0
,REB,7.0
,REB,4.0
,REB,7.0
REB,GOV,7.0
CVL,,-4.0
GOV,REB,5.0
,CRM,-10.0
,REB,-9.0
,CRM,-2.0
,CRM,-2.0
,CRM,-2.0
GOV,,8.0
,GOV,8.0
CVL,,7.0
REB,,3.5
,GOV,0.0
CRM,,-5.0
,REB,4.0
,GOV,-2.0
REB,,-10.0
JUD,,0.0
GOV,GOV,0.0
,GOV,8.0
,UAF,1.0
CVL,UAF,1.0
GOV,,8.0
,REB,3.0
,,0.0
,REB,7.0
,REB,0.0
,REB,4.0
REB,GOV,4.0
REB,,0.0
CVL,,-4.0
GOV,,0.0
,REB,-4.0
,REB,-6.5
CVL,REB,4.0
REB,,7.0
MIL,MIL,1.0
,REB,-2.0
JUD,,-2.0
REB,GOV,-4.0
,REB,7.0
,COP,0.0
,GOV,3.4
GOV,REB,-4.0
,REB,-4.0
GOV,REB,3.0
,GOV,3.0
REB,,4.0
,REB,-4.0
,GOV,4.0
,REB,0.4
REB,,-10.0
REB,GOV,4.0
GOV,REB,4.0
GOV,,-4.0
GOV,,0.0
CVL,REB,-4.0
CRM,,7.0
,GOV,0.0
,CRM,7.0
REB,,-4.0
GOV,,3.4
,REB,-4.0
,REB,-4.0
,REB,6.0
,GOV,7.0
GOV,,3.5
,GOV,3.5
REB,,4.0
,REB,-4.0
,REB,4.0
,REB,-4.0
,LEG,3.0
,LEG,-2.0
LEG,,3.0
,EDU,-10.0
GOV,,4.0
,GOV,4.0
,CVL,-4.0
REB,,8.0
,REB,8.0
GOV,,1.0
,GOV,1.0
REB,GOV,6.4
,LEG,3.0
CVL,,4.0
REB,GOV,8.0
GOV,REB,7.0
REB,GOV,7.0
CVL,REB,4.5
REB,MIL,8.0
REB,LEG,-10.0
REB,GOV,8.0
MIL,REB,8.0
MIL,REB,3.4
GOV,REB,8.0
GOV,REB,3.4
MIL,,8.0
,MIL,8.0
CVL,REB,-4.0
,GOV,7.0
REB,,7.0
,,7.0
GOV,,3.4
,GOV,7.0
REB,,-4.0
REB,,3.4
,JUD,4.0
GOV,GOV,3.0
,GOV,7.0
REB,GOV,7.0
GOV,REB,8.0
LEG,,-2.0
,REB,7.0
,GOV,7.0
,GOV,2.8
GOV,,1.9
,GOV,7.0
CRM,,-5.0
REB,,3.5
GOV,,7.0
,REB,3.5
,SPY,-10.0
,REB,-0.4
GOV,GOV,-4.0
,GOV,2.8
,GOV,2.8
GOV,,1.9
GOV,,1.9
,GOV,2.8
GOV,,1.9
GOV,,3.4
,REB,4.0
,REB,1.9
,SPY,-10.0
REB,,3.4
GOV,,7.0
GOV,,7.0
,REB,7.0
REB,,2.8
,GOV,3.5
,GOV,7.0
REB,,-10.0
GOV,GOV,3.5
GOV,GOV,4.0
GOV,,3.5
CRM,,-5.0
,GOV,2.8
GOV,,0.0
REB,GOV,4.0
GOV,,7.0
GOV,,0.0
GOV,REB,7.0
GOV,,1.0
,MNC,-2.0
,GOV,4.0
,REB,3.4
GOV,,1.0
,,0.0
,GOV,1.0
,GOV,1.0
GOV,,1.0
REB,REB,7.0
,REB,8.0
CVL,MIL,5.0
GOV,,1.9
REB,,8.0
REB,REB,-9.0
,GOV,3.0
CVL,REB,4.5
GOV,REB,4.0
REB,,-2.0
BUS,,3.0
,GOV,-4.0
CVL,,4.0
REB,GOV,8.0
,REB,1.0
,GOV,4.0
REB,GOV,3.5
REB,GOV,1.0
GOV,REB,3.5
GOV,,-5.0
,GOV,7.0
CVL,MIL,3.5
GOV,,-5.0
MIL,,3.5
GOV,,7.0
REB,,7.0
REB,,0.0
,REB,7.0
MIL,CVL,3.5
,GOV,4.0
GOV,,3.4
,REB,3.0
,REB,-4.0
GOV,REB,4.0
GOV,,-4.0
REB,,-5.0
,MIL,3.5
,GOV,-5.0
GOV,,8.0
,GOV,8.0
,GOV,-0.4
REB,GOV,4.0
,,-2.0
,CRM,7.0
,REB,-4.0
,REB,-2.0
,MIL,-2.0
BUS,,7.0
GOV,,4.0
,REB,3.0
REB,REB,7.0
REB,,8.0
,REB,8.0
,REB,5.0
GOV,,7.0
GOV,,4.0
BUS,,6.4
,GOV,7.0
,GOV,4.0
CVL,,3.2
,REB,3.0
,REB,3.4
,REB,8.0
REB,,8.0
,REB,-4.0
REB,,1.9
,REB,2.8
REB,GOV,4.0
,GOV,3.0
,GOV,4.0
GOV,REB,7.0
REB,GOV,7.0
GOV,REB,4.0
GOV,,1.0
,GOV,1.0
,REB,5.0
CVL,MIL,3.2
CVL,MIL,3.4
CVL,MIL,-4.0
,REB,7.0
GOV,,0.4
,GOV,7.0
,GOV,7.0
GOV,,4.0
,REB,3.0
,REB,5.0
,REB,4.0
,GOV,4.0
CRM,,7.0
CRM,,-5.0
CVL,REB,-4.0
,,3.0
,REB,-4.0
,REB,4.0
,GOV,-10.0
,GOV,-2.0
REB,,8.0
,REB,8.0
,OPP,-5.0
,OPP,7.0
REB,REB,-9.0
REB,,-10.0
,GOV,3.4
,GOV,1.9
,MIL,1.9
GOV,,2.8
REB,,2.8
GOV,MIL,1.0
REB,,-9.0
,REB,3.4
MIL,,2.8
,REB,-2.0
GOV,REB,8.0
GOV,REB,4.0
,MED,3.4
MED,,3.4
GOV,,8.0
,GOV,8.0
REB,REB,9.0
GOV,,4.0
,GOV,4.0
,,2.8
,,1.9
,REB,-5.0
GOV,,-4.0
ELI,REB,-2.0
GOV,REB,1.0
GOV,,3.4
REB,GOV,-4.0
REB,,-4.0
GOV,,0.0
GOV,REB,4.0
GOV,REB,8.0
,REB,9.0
,GOV,8.0
GOV,,8.0
,REB,-2.0
REB,,4.0
REB,GOV,8.0
REB,GOV,4.0
MIL,,8.0
REB,,-10.0
,LEG,3.0
GOV,,3.0
GOV,,3.4
,REB,3.4
CVL,,-4.0
REB,REB,3.4
REB,,4.0
LEG,,3.0
,MIL,-6.5
,REB,7.0
,MIL,8.0
,REB,0.0
REB,GOV,4.0
REB,GOV,8.0
REB,,4.0
,REB,5.2
GOV,,-5.0
,MIL,7.4
REB,REB,0.0
REB,REB,-0.4
GOV,,3.0
REB,GOV,8.0
GOV,REB,8.0
GOV,REB,8.0
,MIL,3.4
HLH,,4.0
REB,,-2.0
,REB,-4.0
REB,,0.0
CVL,,1.9
,MIL,3.4
GOV,REB,4.0
,GOV,1.0
,GOV,0.0
,GOV,-4.0
GOV,,4.0
,REB,3.4
,,0.4
,GOV,0.0
,REB,3.4
,REB,-4.0
,MIL,-5.0
GOV,,1.0
,JUD,3.0
,GOV,-4.0
REB,,-4.0
,,4.0
,,4.0
,GOV,7.0
,REB,7.0
GOV,,8.0
,GOV,8.0
,REB,-5.0
REB,GOV,4.0
,REB,8.0
GOV,,3.4
,REB,7.4
CVL,,1.0
,CVL,1.0
,GOV,8.0
GOV,,8.0
REB,,4.0
REB,,8.0
,REB,-5.0
GOV,GOV,2.8
,,0.4
,GOV,3.5
GOV,,7.0
GOV,,3.5
,CVL,-4.0
,GOV,-2.0
,GOV,3.0
,GOV,7.0
,ELI,4.0
ELI,,1.9
,ELI,2.8
,REB,4.0
REB,GOV,4.0
GOV,REB,4.0
,REB,3.0
ELI,GOV,3.0
,REB,7.0
,,5.2
,GOV,0.0
,MIL,8.0
,MIL,-6.5
MIL,,8.0
REB,GOV,-4.0
REB,REB,8.0
REB,,0.4
,GOV,-2.0
REB,,0.0
GOV,,-5.0
,REB,-5.0
REB,,7.0
,REB,7.0
,GOV,-2.0
REB,,3.0
GOV,,-2.0
GOV,,5.2
,REB,3.0
,GOV,3.4
REB,GOV,8.0
JUD,,3.0
REB,GOV,4.0
REB,,-10.0
GOV,GOV,1.9
,CVL,2.8
,REB,8.0
GOV,,3.0
,CVL,1.0
,GOV,8.0
CVL,,1.0
GOV,REB,8.0
GOV,REB,4.0
GOV,,8.0
,LEG,3.0
,REB,3.0
CRM,,-10.0
BUS,,2.8
ELI,,-2.0
,REB,8.0
REB,,8.0
ELI,,3.0
JUD,,-5.0
,MIL,1.0
,CRM,-10.0
MIL,GOV,3.5
MIL,,3.5
CVL,,4.0
,BUS,1.9
GOV,MIL,3.5
,MIL,3.5
,GOV,3.4
,CVL,4.0
REF,,3.4
,GOV,3.0
,REB,8.0
,REB,8.3
REB,,-2.0
GOV,,2.8
,REB,3.0
,ELI,3.0
CVL,MIL,3.4
,REB,8.3
CVL,MIL,-4.0
,REB,1.0
GOV,,-10.0
,EDU,0.0
REB,GOV,8.0
GOV,REB,4.0
REB,GOV,4.0
,REB,1.0
,CVL,0.0
REB,,4.0
,REB,-4.0
REB,,-4.0
GOV,,8.0
,GOV,8.0
CVL,,3.2
,REB,-2.0
REB,,8.0
REB,,3.4
GOV,,3.0
,,4.0
,,4.0
,REB,-2.0
,REB,-4.0
,REB,2.8
REB,,1.9
,,4.0
,OPP,-6.5
GOV,REB,8.0
REB,,4.0
,REB,-5.0
GOV,GOV,0.0
MIL,REB,-5.0
CVL,,0.0
,REB,-4.0
REB,,8.0
,GOV,-4.4
GOV,REB,4.0
,,-2.0
REB,REB,8.0
CVL,MIL,3.2
,REB,-4.0
,REB,4.0
,REB,8.0
REB,,3.5
EDU,,0.0
CVL,,-4.0
REB,,4.0
,REB,-4.0
REB,,8.0
,GOV,5.2
,GOV,7.4
GOV,,3.4
GOV,,3.4
,ELI,3.0
,CVL,-4.0
,REB,3.4
CVL,,-4.0
REB,,3.4
REB,,-10.0
,BUS,3.5
BUS,,3.5
GOV,,-2.0
,REB,-2.0
GOV,GOV,5.0
,GOV,9.0
,REB,8.0
REB,,4.0
CVL,MIL,-4.0
GOV,REB,9.0
GOV,REB,5.0
GOV,MIL,5.0
GOV,,7.0
,MIL,5.0
,GOV,5.0
GOV,,0.4
,GOV,-10.0
,,4.0
MED,,0.0
,MED,0.0
MED,,0.0
MED,,0.0
CVL,,3.2
CVL,MIL,3.2
GOV,,-5.0
,,-5.0
GOV,,8.0
,REB,3.5
,GOV,8.0
CVL,MIL,3.4
GOV,,3.4
,CVL,0.0
,GOV,1.0
,REB,4.0
GOV,,-4.0
REB,GOV,1.0
REB,GOV,7.0
GOV,REB,7.0
GOV,,-10.0
REB,GOV,4.0
,REB,7.0
,GOV,3.0
,REB,8.0
GOV,GOV,0.0
,MIL,-5.0
REB,,3.5
,REB,3.5
GOV,,0.0
,REB,9.0
GOV,GOV,4.0
,REB,5.0
,GOV,4.0
,REB,-4.0
REB,,-10.0
REB,LEG,-10.0
,GOV,1.0
GOV,,1.0
,REB,-2.0
REB,GOV,5.0
GOV,,4.0
,REB,7.0
GOV,GOV,-4.0
GOV,,3.0
GOV,REB,3.0
,ELI,-2.0
,CVL,-2.0
,GOV,7.0
GOV,,7.0
,,-2.0
,REB,3.0
REB,GOV,1.0
REB,MIL,5.0
REB,,7.0
,REB,3.5
,REB,4.0
REB,,3.5
REB,GOV,1.0
REB,,1.0
REB,,4.0
GOV,REB,1.0
,REB,1.0
,REB,5.0
GOV,,1.0
,REB,7.0
,,7.4
,,3.4
REB,,4.0
,GOV,7.0
GOV,,1.0
,MIL,9.0
REB,GOV,8.0
GOV,,3.5
,GOV,3.5
,CVL,0.0
REB,,8.0
,REB,5.0
GOV,REB,4.0
GOV,REB,5.0
GOV,,3.0
GOV,,-2.0
GOV,,-4.4
,,5.2
,GOV,-4.4
REB,REB,2.8
GOV,,5.0
,MIL,9.0
GOV,REB,8.0
,MIL,-5.0
ELI,GOV,1.0
,REB,7.0
REB,MIL,5.0
REB,,3.4
REB,GOV,0.0
MED,ELI,-2.0
,,-4.0
CVL,REB,-4.0
,,8.0
,ELI,-2.0
,REB,5.0
